id,slug,pageType,category,sections,toc_items,faq_count,has_cmp_table,has_bottom_line,has_pros_cons,has_related,n_related
rangefinders,/best-golf-rangefinders-2026/,buying-guide,gear-reviews,6,8,4,Y,Y,N,Y,3
gps-watches,/best-golf-gps-watches/,comparison,gear-reviews,4,7,3,Y,N,N,Y,3
drivers,/best-golf-drivers-forgiveness/,comparison,gear-reviews,5,8,2,Y,N,N,Y,3
irons,/best-golf-irons-2026/,buying-guide,gear-reviews,4,10,3,Y,Y,N,Y,3
fix-slice,/how-to-fix-your-slice/,tutorial,improve-game,6,9,3,N,N,N,Y,3
break-90,/how-to-break-90/,tutorial,improve-game,5,9,3,N,N,N,Y,3
improve-putting,/how-to-improve-putting/,tutorial,improve-game,4,8,2,N,N,N,Y,4
beginner-sets,/best-beginner-golf-club-sets/,buying-guide,improve-game,5,9,2,N,Y,N,Y,3
tips-beginners,/golf-tips-for-beginners/,tutorial,improve-game,3,9,2,N,N,N,Y,3
handicap,/average-golf-handicap/,listicle,improve-game,3,9,2,N,N,N,Y,3
swing-analyzers,/best-golf-swing-analyzers/,buying-guide,golf-tech,4,7,2,N,Y,N,Y,3
golf-apps,/best-golf-apps/,buying-guide,golf-tech,4,9,2,N,Y,N,Y,3
ai-tools,/best-ai-golf-training-tools/,buying-guide,golf-tech,4,8,2,N,Y,N,Y,3
accessories-25,/25-golf-accessories-every-golfer-should-own/,listicle,golf-accessories,3,13,2,N,N,N,Y,3
accessories-50,/best-golf-accessories-under-50/,listicle,golf-accessories,3,11,1,N,N,N,Y,3
sneak-rounds,/how-to-sneak-in-more-golf-rounds/,lifestyle,golf-lifestyle,4,6,1,N,N,N,Y,3
fitness,/golf-fitness-office-golfer/,lifestyle,golf-lifestyle,3,6,1,N,N,N,Y,3
courses,/best-golf-courses-weekend-drive/,lifestyle,golf-lifestyle,3,5,1,N,N,N,Y,3
golf-balls,/best-golf-balls-2026/,buying-guide,gear-reviews,6,9,4,Y,Y,N,Y,3
gloves,/best-golf-gloves-hot-weather/,buying-guide,golf-accessories,4,7,2,N,Y,N,Y,3
golf-putters,/best-golf-putters-2026/,buying-guide,gear-reviews,5,7,2,Y,Y,N,Y,3
golf-bags,/best-golf-bags-2026/,buying-guide,gear-reviews,5,7,2,Y,Y,N,Y,3
golf-ball-compression,/golf-ball-compression-chart/,listicle,gear-reviews,4,5,2,Y,N,N,Y,3
pro-v1-vs-pro-v1x,/titleist-pro-v1-vs-pro-v1x/,comparison,gear-reviews,4,10,2,Y,N,N,Y,3
golf-gifts,/best-golf-gifts-for-him/,listicle,golf-accessories,4,11,2,N,N,N,Y,3
golf-shoes-walking,/best-golf-shoes-for-walking/,buying-guide,golf-accessories,4,6,2,Y,Y,N,Y,3
best-golf-gloves-men,/best-golf-gloves-for-men/,buying-guide,golf-accessories,5,7,2,Y,Y,N,Y,3
best-budget-drivers,/best-golf-drivers-under-200/,buying-guide,gear-reviews,5,7,2,Y,Y,N,Y,3
best-golf-training-aids,/best-golf-training-aids/,buying-guide,golf-accessories,6,8,2,Y,Y,N,Y,3
rangefinder-worth-it,/is-a-rangefinder-worth-it/,buying-guide,gear-reviews,4,5,2,N,Y,N,Y,4
rangefinder-vs-gps,/golf-rangefinder-vs-gps-watch/,comparison,gear-reviews,4,5,2,N,Y,N,Y,4
what-golf-ball-high-handicapper,/what-golf-ball-for-high-handicapper/,buying-guide,gear-reviews,4,5,2,N,Y,N,Y,4
rangefinder-beginners,/best-golf-rangefinder-beginners/,buying-guide,gear-reviews,4,5,2,Y,Y,N,Y,4
bushnell-vs-garmin,/bushnell-vs-garmin-rangefinder/,comparison,gear-reviews,3,6,2,Y,Y,N,Y,4
golf-balls-slow-swing,/best-golf-balls-slow-swing-speed/,buying-guide,gear-reviews,4,5,1,Y,Y,N,Y,4
golf-balls-weekend,/best-golf-balls-weekend-golfers/,buying-guide,gear-reviews,4,5,1,Y,Y,N,Y,4
how-to-chip,/how-to-chip-in-golf/,tutorial,improve-game,4,5,2,N,Y,N,Y,4
stop-topping,/how-to-stop-topping-the-ball/,tutorial,improve-game,4,6,2,N,Y,N,Y,4
golf-etiquette,/golf-course-etiquette/,listicle,golf-lifestyle,6,7,2,N,Y,N,Y,4
rangefinder-under-200,/best-golf-rangefinder-under-200/,buying-guide,gear-reviews,3,5,1,Y,Y,N,Y,4
arccos-vs-shot-scope,/arccos-vs-shot-scope/,comparison,gear-reviews,4,6,2,Y,Y,N,Y,4
handicap-weekend-golfer,/average-golf-handicap-weekend-golfer/,tutorial,improve-game,4,5,2,N,Y,N,Y,4
how-to-use-rangefinder,/how-to-use-golf-rangefinder/,tutorial,gear-reviews,5,6,2,N,Y,N,Y,4
skytrak-vs-mevo-plus,/skytrak-vs-mevo-plus/,comparison,golf-tech,4,6,2,Y,Y,N,Y,4
garage-simulator,/how-to-build-garage-golf-simulator/,tutorial,golf-tech,4,6,2,N,Y,N,Y,4
golf-apps-handicap,/best-golf-apps-handicap-tracking/,buying-guide,golf-tech,3,6,2,N,Y,N,Y,4
golf-grip-trainers,/best-golf-grip-trainers/,buying-guide,golf-accessories,4,5,1,N,Y,N,Y,4
gps-watch-high-handicapper,/best-gps-golf-watch-high-handicappers/,buying-guide,gear-reviews,4,5,1,Y,Y,N,Y,4
golf-simulator-small-spaces,/best-golf-simulator-small-spaces/,buying-guide,golf-tech,3,5,1,N,Y,N,Y,4
indoor-golf-net,/best-indoor-golf-net-setup/,buying-guide,golf-tech,4,5,1,N,Y,N,Y,4
